Filenames_filename,Data_group,Data_remarks,Data_plant_id,Data_leaftype,SysObs_obs,SysObs_time,SysObs_elapsed,SysObs_date,SysObs_hhmmss,GasEx_E,GasEx_Emm,GasEx_A,GasEx_Ca,GasEx_Ci,GasEx_gsw,GasEx_TleafCnd,GasEx_RHcham,GasEx_VPcham,GasEx_VPDleaf,FLR_Fv/Fm,FLR_A_dark,FLR_A_fs,FLR_ETR,FLR_NPQ,FLR_Fv'/Fm',LeafQ_Qin,Meas_Pa,Meas_Tair,Meas_Tleaf,Meas_Fan_speed,Meas_CO2_s,Meas_H2O_r,Meas_H2O_s,Meas_CO2_r,f
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,3,1700253381,127,2023-11-17,12:36:21,0.00109671,1.09671202,3.59811921,296.7671681,239.227006,0.11146384,28.7522,68.3828463,3.09723739,0.86722616,0.80043795,-0.359218189,3.59811921,43.64375506,1.39894505,0.6257448,499.97025,88.59511875,31.0694,28.7522,5001.131874999999,296.7671875,33.84485625,34.92005625,300.590375,FALSE
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,4,1700252910,123,2023-11-17,12:28:30,0.00108885,1.08885256,3.42957913,300.3847149,245.0942081,0.11105461,28.79165333,69.77577586,3.10953451,0.86400555,0.80043795,-0.359218189,3.42957913,37.73639398,1.04204564,0.6626401,499.9408,88.59922667,30.78538667,28.79165333,5002.334666666666,300.3847333333333,33.98736666666667,35.05707333333333,301.2092667,FALSE
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,3,1700252873,86,2023-11-17,12:27:53,0.00110296,1.10295581,3.26742912,299.6892492,248.4548885,0.11491894,28.72492,70.0052278,3.11135701,0.84684117,0.80043795,-0.359218189,3.26742912,36.10613187,0.95141513,0.67271248,500.0275333,88.60061333,30.73816667,28.72492,5000.541333333333,299.68926666666664,34.00476666666667,35.077066666666674,301.9952,FALSE
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,2,1700253333,79,2023-11-17,12:35:33,0.00115577,1.15576976,3.41336022,296.7570484,246.5690943,0.12274247,28.63446,68.74644467,3.10463794,0.83284614,0.80043795,-0.359218189,3.41336022,41.61568128,1.34072154,0.63148076,499.9986667,88.59385333,31.01823333,28.63446,5004.250666666666,296.75706666666673,33.84038,35.00398666666667,300.2983333,FALSE
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,2,1700252832,45,2023-11-17,12:27:12,0.00110286,1.10285595,3.40376838,301.5570484,249.5288362,0.1176209,28.63527333,70.25041009,3.10957801,0.82809189,0.80043795,-0.359218189,3.40376838,32.95573423,0.82739664,0.68700222,500.0294,88.60008667,30.66697333,28.63527333,5000.208666666667,301.55706666666663,33.98045333333334,35.057219999999994,301.4858667,FALSE
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,1,1700252787,0,2023-11-17,12:26:27,0.00105501,1.05500842,1.64465154,304.4697912,276.5169284,0.1151365,28.48573333,70.28823687,3.09472872,0.80890446,0.80043795,-0.359218189,1.64465154,27.84048529,0.64856959,0.70870973,500.0006,88.60134667,30.57384,28.48573333,4993.623333333334,304.46979999999996,34.011,34.88988666666667,310.4738,FALSE
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,1,1700253254,0,2023-11-17,12:34:14,0.00139133,1.39132752,2.95425344,296.1423842,262.2810704,0.16493757,28.39451333,69.64437571,3.12727079,0.75572611,0.80043795,-0.359218189,2.95425344,32.54093093,1.06144777,0.66052289,499.9908,88.59462,30.91805333,28.39451333,5000.79,296.1424,33.897193333333334,35.25886666666667,299.7088667,FALSE
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,6,1700252512,169,2023-11-17,12:21:52,0.00116492,1.16492255,2.3406191,308.9678541,278.2907396,0.14537828,28.09676,71.34447148,3.10218227,0.71411599,0.80043795,-0.359218189,2.3406191,31.47342437,0.81558498,0.68839492,500.0121333,88.59558667,30.3553,28.09676,4998.2480000000005,308.9678666666667,33.817993333333334,34.97562666666667,308.621,FALSE
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,5,1700252473,130,2023-11-17,12:21:13,0.00119486,1.19485726,3.49910602,301.3833561,259.434415,0.15221493,28.06068125,71.65749215,3.10727638,0.70100831,0.80043795,-0.359218189,3.49910602,30.76323983,0.68849285,0.70374541,500.0219375,88.595875,30.30753125,28.06068125,4998.945625,301.383375,33.84725625,35.032931250000004,303.1050625,FALSE
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,4,1700252439,96,2023-11-17,12:20:39,0.00130428,1.30428146,3.56917329,298.3288559,259.0318125,0.16730639,28.08010625,71.98170987,3.11330597,0.69929145,0.80043795,-0.359218189,3.56917329,29.5230592,0.57572249,0.71795088,499.9893125,88.5991375,30.26259375,28.08010625,4999.920625,298.328875,33.714806249999995,35.099618750000005,301.8809375,FALSE
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,3,1700252411,68,2023-11-17,12:20:11,0.00133601,1.33601415,3.68894391,297.7301677,259.5174504,0.17817396,28.011175,72.40617358,3.12247646,0.67483612,0.80043795,-0.359218189,3.68894391,28.82747732,0.47955475,0.73052594,500.0005625,88.60175625,30.21135,28.011175,4997.186874999999,297.73018749999994,33.77363749999999,35.2019875,301.632125,FALSE
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,2,1700252383,40,2023-11-17,12:19:43,0.00132127,1.3212709,3.34484001,303.5391071,270.4784971,0.18937572,27.79188125,72.70835573,3.11887599,0.63016533,0.80043795,-0.359218189,3.34484001,27.77053409,0.39111199,0.74248608,500.02525,88.6039875,30.11864375,27.79188125,5004.608749999999,303.539125,33.87748125,35.16051875,303.5451875,FALSE
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,1,1700252343,0,2023-11-17,12:19:03,0.0013477299999999999,1.3477341,3.61056472,298.944514,265.8198711,0.20328932,27.61176,72.83466974,3.10831074,0.6014834,0.80043795,-0.359218189,3.61056472,26.44848025,0.28804774,0.7569272,499.9931333,88.60928,30.0293,27.61176,4997.792666666665,298.94453333333337,33.74257333333333,35.03928,302.4535333,FALSE
